,playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,AVG,OBP,SLG,OPS
33,burkech01,2005,108,318,49,79,19,2,5,26.0,23,62.0,0.0,0.248,0.297,0.368,0.665
34,burnije01,2005,160,605,84,156,31,2,24,87.0,57,109.0,3.0,0.258,0.319,0.435,0.754
35,burrepa01,2005,154,562,78,158,27,1,32,117.0,99,160.0,6.0,0.281,0.386,0.504,0.89
36,burrose01,2005,93,284,20,71,7,2,1,17.0,24,41.0,4.0,0.25,0.307,0.299,0.606
37,cabremi01,2005,158,613,106,198,43,2,33,116.0,64,125.0,12.0,0.323,0.384,0.561,0.945
38,cabreor01,2005,141,540,70,139,28,3,8,57.0,38,50.0,4.0,0.257,0.305,0.365,0.67
39,cairomi01,2005,100,327,31,82,18,0,2,19.0,19,31.0,2.0,0.251,0.288,0.324,0.612
40,canoro01,2005,132,522,78,155,34,4,14,62.0,16,68.0,1.0,0.297,0.316,0.458,0.774
41,cantujo01,2005,150,598,73,171,40,1,28,117.0,19,83.0,1.0,0.286,0.304,0.497,0.801
42,carroja01,2005,113,303,44,76,8,1,0,22.0,34,55.0,1.0,0.251,0.324,0.284,0.608
43,caseyse01,2005,137,529,75,165,32,0,9,58.0,48,48.0,3.0,0.312,0.366,0.423,0.789
44,castijo02,2005,101,370,49,99,16,3,11,53.0,23,59.0,3.0,0.268,0.307,0.416,0.723
45,castilu01,2005,122,439,72,132,12,4,4,30.0,65,32.0,1.0,0.301,0.39,0.374,0.764
46,castivi02,2005,142,494,53,125,36,1,12,66.0,43,82.0,7.0,0.253,0.311,0.403,0.714
47,castrju01,2005,97,272,27,70,18,1,5,33.0,9,39.0,1.0,0.257,0.279,0.386,0.665
48,castrra01,2005,99,209,26,51,16,0,8,41.0,25,58.0,2.0,0.244,0.321,0.435,0.756
49,catalfr01,2005,130,419,56,126,29,5,8,59.0,37,53.0,0.0,0.301,0.354,0.451,0.805
50,chaveen01,2005,91,107,17,23,3,3,0,10.0,4,13.0,0.0,0.215,0.243,0.299,0.542
51,chaveer01,2005,160,625,92,168,40,1,27,101.0,58,129.0,4.0,0.269,0.327,0.466,0.793
52,choihe01,2005,133,320,40,81,15,2,15,42.0,34,80.0,1.0,0.253,0.321,0.453,0.774
53,churcry01,2005,102,268,41,77,15,3,9,42.0,24,70.0,0.0,0.287,0.342,0.466,0.808
54,cintral01,2005,122,330,36,90,19,2,8,48.0,12,33.0,3.0,0.273,0.296,0.415,0.711
55,clarkbr02,2005,145,599,94,183,31,1,13,53.0,47,55.0,1.0,0.306,0.355,0.426,0.781
56,clarkto02,2005,130,349,47,106,22,2,30,87.0,37,88.0,6.0,0.304,0.365,0.636,1.001
57,claytro01,2005,143,522,59,141,28,4,2,44.0,38,105.0,0.0,0.27,0.319,0.351,0.67
58,clossjd01,2005,92,237,31,52,12,2,7,27.0,32,48.0,1.0,0.219,0.311,0.376,0.687
59,coninje01,2005,131,335,42,102,20,2,3,33.0,38,58.0,2.0,0.304,0.369,0.403,0.772
